organism,year,level,n_transects,year_zero,tidalheight,years_pres,density,density_nonzero
Anomia simplex,1982,3,10,1,3.4799999999999995,17,0,0.01
Anomia simplex,1982,4,10,1,3.1319999999999997,17,0,0.01
Anomia simplex,1982,5,10,1,2.784,17,0,0.01
Anomia simplex,1982,6,10,1,2.436,17,0,0.01
Anomia simplex,1982,7,10,1,2.088,17,0,0.01
Anomia simplex,1982,8,10,1,1.7399999999999998,17,0,0.01
Anomia simplex,1982,9,10,1,1.392,17,0,0.01
Anomia simplex,1982,10,10,1,1.044,17,0,0.01
Anomia simplex,1982,11,10,1,0.696,17,2.5,2.5
Anomia simplex,1982,12,10,1,0.348,17,2.5,2.5
Anomia simplex,1982,13,10,1,0,17,0,0.01
Anomia simplex,1982,14,6,1,-0.348,17,0,0.01
Anomia simplex,1983,3,10,2,3.4799999999999995,17,2.5,2.5
Anomia simplex,1983,4,10,2,3.1319999999999997,17,0,0.01
Anomia simplex,1983,5,10,2,2.784,17,0,0.01
Anomia simplex,1983,6,10,2,2.436,17,0,0.01
Anomia simplex,1983,7,10,2,2.088,17,0,0.01
Anomia simplex,1983,8,10,2,1.7399999999999998,17,0,0.01
Anomia simplex,1983,9,10,2,1.392,17,0,0.01
Anomia simplex,1983,10,10,2,1.044,17,0,0.01
Anomia simplex,1983,11,10,2,0.696,17,37.5,37.5
Anomia simplex,1983,12,9,2,0.348,17,0,0.01
Anomia simplex,1983,13,2,2,0,17,0,0.01
Anomia simplex,1984,3,8,3,3.4799999999999995,17,0,0.01
Anomia simplex,1984,4,9,3,3.1319999999999997,17,0,0.01
Anomia simplex,1984,5,9,3,2.784,17,0,0.01
Anomia simplex,1984,6,9,3,2.436,17,0,0.01
Anomia simplex,1984,7,9,3,2.088,17,0,0.01
Anomia simplex,1984,8,9,3,1.7399999999999998,17,5.555555555555555,5.555555555555555
Anomia simplex,1984,9,9,3,1.392,17,0,0.01
Anomia simplex,1984,10,9,3,1.044,17,0,0.01
Anomia simplex,1984,11,9,3,0.696,17,0,0.01
Anomia simplex,1984,12,9,3,0.348,17,22.22222222222222,22.22222222222222
Anomia simplex,1984,13,6,3,0,17,0,0.01
Anomia simplex,1985,3,1,4,3.4799999999999995,17,0,0.01
Anomia simplex,1985,4,1,4,3.1319999999999997,17,0,0.01
Anomia simplex,1985,5,1,4,2.784,17,0,0.01
Anomia simplex,1985,6,8,4,2.436,17,0,0.01
Anomia simplex,1985,7,1,4,2.088,17,0,0.01
Anomia simplex,1985,8,1,4,1.7399999999999998,17,0,0.01
Anomia simplex,1985,9,8,4,1.392,17,0,0.01
Anomia simplex,1985,10,1,4,1.044,17,0,0.01
Anomia simplex,1985,11,1,4,0.696,17,0,0.01
Anomia simplex,1985,12,6,4,0.348,17,0,0.01
Anomia simplex,1985,13,1,4,0,17,0,0.01
Anomia simplex,1986,3,8,5,3.4799999999999995,17,0,0.01
Anomia simplex,1986,4,9,5,3.1319999999999997,17,0,0.01
Anomia simplex,1986,5,9,5,2.784,17,0,0.01
Anomia simplex,1986,6,10,5,2.436,17,0,0.01
Anomia simplex,1986,7,9,5,2.088,17,0,0.01
Anomia simplex,1986,8,10,5,1.7399999999999998,17,0,0.01
Anomia simplex,1986,9,8,5,1.392,17,0,0.01
Anomia simplex,1986,10,10,5,1.044,17,0,0.01
Anomia simplex,1986,11,8,5,0.696,17,0,0.01
Anomia simplex,1986,12,8,5,0.348,17,0,0.01
Anomia simplex,1986,13,6,5,0,17,0,0.01
Anomia simplex,1987,3,10,6,3.4799999999999995,17,0,0.01
