organism,year,level,n_transects,year_zero,tidalheight,years_pres,density,density_nonzero
Anomia simplex,1982,5,7,1,2.784,14,0,0.01
Anomia simplex,1982,6,7,1,2.436,14,0,0.01
Anomia simplex,1982,7,7,1,2.088,14,0,0.01
Anomia simplex,1982,8,7,1,1.7399999999999998,14,0,0.01
Anomia simplex,1982,9,7,1,1.392,14,0,0.01
Anomia simplex,1982,10,7,1,1.044,14,0,0.01
Anomia simplex,1982,11,7,1,0.696,14,3.5714285714285716,3.5714285714285716
Anomia simplex,1982,12,7,1,0.348,14,0,0.01
Anomia simplex,1982,13,7,1,0,14,0,0.01
Anomia simplex,1983,5,7,2,2.784,14,0,0.01
Anomia simplex,1983,6,7,2,2.436,14,0,0.01
Anomia simplex,1983,7,7,2,2.088,14,0,0.01
Anomia simplex,1983,8,7,2,1.7399999999999998,14,0,0.01
Anomia simplex,1983,9,7,2,1.392,14,0,0.01
Anomia simplex,1983,10,7,2,1.044,14,0,0.01
Anomia simplex,1983,11,7,2,0.696,14,53.57142857142857,53.57142857142857
Anomia simplex,1983,12,6,2,0.348,14,0,0.01
Anomia simplex,1984,5,6,3,2.784,14,0,0.01
Anomia simplex,1984,6,6,3,2.436,14,0,0.01
Anomia simplex,1984,7,6,3,2.088,14,0,0.01
Anomia simplex,1984,8,6,3,1.7399999999999998,14,0,0.01
Anomia simplex,1984,9,6,3,1.392,14,0,0.01
Anomia simplex,1984,10,6,3,1.044,14,0,0.01
Anomia simplex,1984,11,6,3,0.696,14,0,0.01
Anomia simplex,1984,12,6,3,0.348,14,33.33333333333333,33.33333333333333
Anomia simplex,1984,13,5,3,0,14,0,0.01
Anomia simplex,1986,5,7,5,2.784,14,0,0.01
Anomia simplex,1986,6,7,5,2.436,14,0,0.01
Anomia simplex,1986,7,7,5,2.088,14,0,0.01
Anomia simplex,1986,8,7,5,1.7399999999999998,14,0,0.01
Anomia simplex,1986,9,7,5,1.392,14,0,0.01
Anomia simplex,1986,10,7,5,1.044,14,0,0.01
Anomia simplex,1986,11,7,5,0.696,14,0,0.01
Anomia simplex,1986,12,7,5,0.348,14,0,0.01
Anomia simplex,1986,13,5,5,0,14,0,0.01
Anomia simplex,1987,5,5,6,2.784,14,0,0.01
Anomia simplex,1987,6,7,6,2.436,14,0,0.01
Anomia simplex,1987,7,7,6,2.088,14,0,0.01
Anomia simplex,1987,8,7,6,1.7399999999999998,14,0,0.01
Anomia simplex,1987,9,7,6,1.392,14,0,0.01
Anomia simplex,1987,10,7,6,1.044,14,0,0.01
Anomia simplex,1987,11,7,6,0.696,14,0,0.01
Anomia simplex,1987,12,7,6,0.348,14,0,0.01
Anomia simplex,1987,13,7,6,0,14,0,0.01
Anomia simplex,1988,5,6,7,2.784,14,0,0.01
Anomia simplex,1988,6,6,7,2.436,14,0,0.01
Anomia simplex,1988,7,7,7,2.088,14,0,0.01
Anomia simplex,1988,8,7,7,1.7399999999999998,14,0,0.01
Anomia simplex,1988,9,7,7,1.392,14,0,0.01
Anomia simplex,1988,10,7,7,1.044,14,0,0.01
Anomia simplex,1988,11,7,7,0.696,14,0,0.01
Anomia simplex,1988,12,7,7,0.348,14,0,0.01
Anomia simplex,1988,13,5,7,0,14,0,0.01
Anomia simplex,1989,5,5,8,2.784,14,0,0.01
Anomia simplex,1989,6,7,8,2.436,14,0,0.01
Anomia simplex,1989,7,7,8,2.088,14,0,0.01
Anomia simplex,1989,8,7,8,1.7399999999999998,14,0,0.01
Anomia simplex,1989,9,7,8,1.392,14,0,0.01
Anomia simplex,1989,10,7,8,1.044,14,0,0.01
Anomia simplex,1989,11,7,8,0.696,14,0,0.01
Anomia simplex,1989,12,6,8,0.348,14,0,0.01
Anomia simplex,1989,13,4,8,0,14,0,0.01
Anomia simplex,1990,5,5,9,2.784,14,0,0.01
Anomia simplex,1990,6,7,9,2.436,14,0,0.01
Anomia simplex,1990,7,7,9,2.088,14,0,0.01
Anomia simplex,1990,8,7,9,1.7399999999999998,14,0,0.01
Anomia simplex,1990,9,7,9,1.392,14,0,0.01
Anomia simplex,1990,10,7,9,1.044,14,0,0.01
Anomia simplex,1990,11,7,9,0.696,14,0,0.01
Anomia simplex,1990,12,7,9,0.348,14,0,0.01
