organism,year,level,pc_num,n_transects,year_zero,tidalheight,years_pres,percent_cover_beta
Ahnfeltia plicata,1982,6,0,6,1,2.436,11,0
Ahnfeltia plicata,1982,7,0,6,1,2.088,11,0
Ahnfeltia plicata,1982,8,0,6,1,1.7399999999999998,11,0
Ahnfeltia plicata,1982,9,0,6,1,1.392,11,0
Ahnfeltia plicata,1982,10,0,6,1,1.044,11,0
Ahnfeltia plicata,1982,11,0,6,1,0.696,11,0
Ahnfeltia plicata,1982,12,0,6,1,0.348,11,0
Ahnfeltia plicata,1982,13,0,6,1,0,11,0
Ahnfeltia plicata,1983,6,0,6,2,2.436,11,0
Ahnfeltia plicata,1983,7,0,6,2,2.088,11,0
Ahnfeltia plicata,1983,8,0,6,2,1.7399999999999998,11,0
Ahnfeltia plicata,1983,9,0,6,2,1.392,11,0
Ahnfeltia plicata,1983,10,0,6,2,1.044,11,0
Ahnfeltia plicata,1983,11,0,6,2,0.696,11,0
Ahnfeltia plicata,1983,12,0,5,2,0.348,11,0
Ahnfeltia plicata,1984,6,0,5,3,2.436,11,0
Ahnfeltia plicata,1984,7,0,5,3,2.088,11,0
Ahnfeltia plicata,1984,8,0,5,3,1.7399999999999998,11,0
Ahnfeltia plicata,1984,9,0,5,3,1.392,11,0
Ahnfeltia plicata,1984,10,0,5,3,1.044,11,0
Ahnfeltia plicata,1984,11,0,5,3,0.696,11,0
Ahnfeltia plicata,1984,12,0,5,3,0.348,11,0
Ahnfeltia plicata,1984,13,0,4,3,0,11,0
Ahnfeltia plicata,1986,6,0,6,5,2.436,11,0
Ahnfeltia plicata,1986,7,0,6,5,2.088,11,0
Ahnfeltia plicata,1986,8,0,6,5,1.7399999999999998,11,0
Ahnfeltia plicata,1986,9,0,6,5,1.392,11,0
Ahnfeltia plicata,1986,10,0,6,5,1.044,11,0
Ahnfeltia plicata,1986,11,0,6,5,0.696,11,0
Ahnfeltia plicata,1986,12,0,6,5,0.348,11,0
Ahnfeltia plicata,1986,13,0,5,5,0,11,0
Ahnfeltia plicata,1987,6,0,6,6,2.436,11,0
Ahnfeltia plicata,1987,7,0,6,6,2.088,11,0
Ahnfeltia plicata,1987,8,0,6,6,1.7399999999999998,11,0
Ahnfeltia plicata,1987,9,0,6,6,1.392,11,0
Ahnfeltia plicata,1987,10,0,6,6,1.044,11,0
Ahnfeltia plicata,1987,11,1.6666666666666667,6,6,0.696,11,0.016666666666666666
Ahnfeltia plicata,1987,12,0,6,6,0.348,11,0
Ahnfeltia plicata,1987,13,0.8333333333333334,6,6,0,11,0.008333333333333333
Ahnfeltia plicata,1988,6,0,5,7,2.436,11,0
Ahnfeltia plicata,1988,7,0,6,7,2.088,11,0
Ahnfeltia plicata,1988,8,0,6,7,1.7399999999999998,11,0
Ahnfeltia plicata,1988,9,0,6,7,1.392,11,0
Ahnfeltia plicata,1988,10,0,6,7,1.044,11,0
Ahnfeltia plicata,1988,11,0,6,7,0.696,11,0
Ahnfeltia plicata,1988,12,0,6,7,0.348,11,0
Ahnfeltia plicata,1988,13,0,5,7,0,11,0
Ahnfeltia plicata,1989,6,0,6,8,2.436,11,0
Ahnfeltia plicata,1989,7,0,6,8,2.088,11,0
Ahnfeltia plicata,1989,8,0,6,8,1.7399999999999998,11,0
Ahnfeltia plicata,1989,9,0,6,8,1.392,11,0
Ahnfeltia plicata,1989,10,0,6,8,1.044,11,0
Ahnfeltia plicata,1989,11,0,6,8,0.696,11,0
Ahnfeltia plicata,1989,12,0,6,8,0.348,11,0
Ahnfeltia plicata,1989,13,0,4,8,0,11,0
Ahnfeltia plicata,1990,6,0,6,9,2.436,11,0
Ahnfeltia plicata,1990,7,0,6,9,2.088,11,0
Ahnfeltia plicata,1990,8,0,6,9,1.7399999999999998,11,0
Ahnfeltia plicata,1990,9,0,6,9,1.392,11,0
Ahnfeltia plicata,1990,10,0,6,9,1.044,11,0
Ahnfeltia plicata,1990,11,0,6,9,0.696,11,0
Ahnfeltia plicata,1990,12,0,6,9,0.348,11,0
Ahnfeltia plicata,1990,13,0,6,9,0,11,0
Ahnfeltia plicata,1991,6,0,4,10,2.436,11,0
Ahnfeltia plicata,1991,7,0,5,10,2.088,11,0
Ahnfeltia plicata,1991,8,0,5,10,1.7399999999999998,11,0
Ahnfeltia plicata,1991,9,0,5,10,1.392,11,0
Ahnfeltia plicata,1991,10,0,5,10,1.044,11,0
Ahnfeltia plicata,1991,11,0,5,10,0.696,11,0
Ahnfeltia plicata,1991,12,0,5,10,0.348,11,0
Ahnfeltia plicata,1991,13,0,5,10,0,11,0
Ahnfeltia plicata,1992,6,0,5,11,2.436,11,0
Ahnfeltia plicata,1992,7,0.06666666666666667,5,11,2.088,11,6.666666666666666e-4
Ahnfeltia plicata,1992,8,0.03333333333333333,5,11,1.7399999999999998,11,3.333333333333333e-4
Ahnfeltia plicata,1992,9,0,5,11,1.392,11,0
Ahnfeltia plicata,1992,10,0,5,11,1.044,11,0
Ahnfeltia plicata,1992,11,0,5,11,0.696,11,0
Ahnfeltia plicata,1992,12,0,4,11,0.348,11,0
Ahnfeltia plicata,1992,13,0,4,11,0,11,0
Ahnfeltia plicata,1993,6,0,6,12,2.436,11,0
Ahnfeltia plicata,1993,7,0,6,12,2.088,11,0
Ahnfeltia plicata,1993,8,0,6,12,1.7399999999999998,11,0
Ahnfeltia plicata,1993,9,0,6,12,1.392,11,0
Ahnfeltia plicata,1993,10,0,6,12,1.044,11,0
Ahnfeltia plicata,1993,11,0,6,12,0.696,11,0
Ahnfeltia plicata,1993,12,0,6,12,0.348,11,0
Ahnfeltia plicata,1993,13,0,5,12,0,11,0
Ahnfeltia plicata,1994,6,0,6,13,2.436,11,0
Ahnfeltia plicata,1994,7,0,6,13,2.088,11,0
Ahnfeltia plicata,1994,8,0,6,13,1.7399999999999998,11,0
Ahnfeltia plicata,1994,9,0,6,13,1.392,11,0
Ahnfeltia plicata,1994,10,0,6,13,1.044,11,0
Ahnfeltia plicata,1994,11,0,6,13,0.696,11,0
Ahnfeltia plicata,1994,12,0,6,13,0.348,11,0
Ahnfeltia plicata,1994,13,1.0416666666666667,6,13,0,11,0.010416666666666668
Ahnfeltia plicata,1995,6,0,6,14,2.436,11,0
Ahnfeltia plicata,1995,7,0,6,14,2.088,11,0
Ahnfeltia plicata,1995,8,0,6,14,1.7399999999999998,11,0
Ahnfeltia plicata,1995,9,0,6,14,1.392,11,0
Ahnfeltia plicata,1995,10,0,6,14,1.044,11,0
Ahnfeltia plicata,1995,11,0,6,14,0.696,11,0
Ahnfeltia plicata,1995,12,0,6,14,0.348,11,0
Ahnfeltia plicata,1995,13,0,5,14,0,11,0
Ahnfeltia plicata,1996,6,0,2,15,2.436,11,0
Ahnfeltia plicata,1996,7,0,3,15,2.088,11,0
Ahnfeltia plicata,1996,8,0,3,15,1.7399999999999998,11,0
Ahnfeltia plicata,1996,9,0,3,15,1.392,11,0
