organism,year,level,pc_num,n_transects,year_zero,tidalheight,years_pres,percent_cover_beta
Ahnfeltia plicata,1982,6,0,7,1,2.436,13,0
Ahnfeltia plicata,1982,7,0,7,1,2.088,13,0
Ahnfeltia plicata,1982,8,0,7,1,1.7399999999999998,13,0
Ahnfeltia plicata,1982,9,0,7,1,1.392,13,0
Ahnfeltia plicata,1982,10,0,7,1,1.044,13,0
Ahnfeltia plicata,1982,11,0,7,1,0.696,13,0
Ahnfeltia plicata,1982,12,0,7,1,0.348,13,0
Ahnfeltia plicata,1982,13,0,7,1,0,13,0
Ahnfeltia plicata,1982,14,0,5,1,-0.348,13,0
Ahnfeltia plicata,1983,6,0,7,2,2.436,13,0
Ahnfeltia plicata,1983,7,0,7,2,2.088,13,0
Ahnfeltia plicata,1983,8,0,7,2,1.7399999999999998,13,0
Ahnfeltia plicata,1983,9,0,7,2,1.392,13,0
Ahnfeltia plicata,1983,10,0,7,2,1.044,13,0
Ahnfeltia plicata,1983,11,0,7,2,0.696,13,0
Ahnfeltia plicata,1983,12,0.08333333333333333,6,2,0.348,13,8.333333333333333e-4
Ahnfeltia plicata,1984,6,0,6,3,2.436,13,0
Ahnfeltia plicata,1984,7,0,6,3,2.088,13,0
Ahnfeltia plicata,1984,8,0,6,3,1.7399999999999998,13,0
Ahnfeltia plicata,1984,9,0,6,3,1.392,13,0
Ahnfeltia plicata,1984,10,0,6,3,1.044,13,0
Ahnfeltia plicata,1984,11,0,6,3,0.696,13,0
Ahnfeltia plicata,1984,12,0,6,3,0.348,13,0
Ahnfeltia plicata,1984,13,0,4,3,0,13,0
Ahnfeltia plicata,1985,6,0,6,4,2.436,13,0
Ahnfeltia plicata,1985,7,0,1,4,2.088,13,0
Ahnfeltia plicata,1985,8,0,1,4,1.7399999999999998,13,0
Ahnfeltia plicata,1985,9,0,6,4,1.392,13,0
Ahnfeltia plicata,1985,10,0,1,4,1.044,13,0
Ahnfeltia plicata,1985,11,0,1,4,0.696,13,0
Ahnfeltia plicata,1985,12,0,5,4,0.348,13,0
Ahnfeltia plicata,1985,13,0,1,4,0,13,0
Ahnfeltia plicata,1986,6,0,7,5,2.436,13,0
Ahnfeltia plicata,1986,7,0,7,5,2.088,13,0
Ahnfeltia plicata,1986,8,0,7,5,1.7399999999999998,13,0
Ahnfeltia plicata,1986,9,0,7,5,1.392,13,0
Ahnfeltia plicata,1986,10,0,7,5,1.044,13,0
Ahnfeltia plicata,1986,11,0,7,5,0.696,13,0
Ahnfeltia plicata,1986,12,0,7,5,0.348,13,0
Ahnfeltia plicata,1986,13,0,6,5,0,13,0
Ahnfeltia plicata,1987,6,0,7,6,2.436,13,0
Ahnfeltia plicata,1987,7,0,7,6,2.088,13,0
Ahnfeltia plicata,1987,8,0,7,6,1.7399999999999998,13,0
Ahnfeltia plicata,1987,9,0,7,6,1.392,13,0
Ahnfeltia plicata,1987,10,0,7,6,1.044,13,0
Ahnfeltia plicata,1987,11,1.4285714285714286,7,6,0.696,13,0.014285714285714285
Ahnfeltia plicata,1987,12,0,7,6,0.348,13,0
Ahnfeltia plicata,1987,13,0.7142857142857143,7,6,0,13,0.007142857142857143
Ahnfeltia plicata,1987,14,0.75,4,6,-0.348,13,0.0075
