AphiaID,organism
144422,Ahnfeltia plicata
145716,Alaria esculenta
156737,Anomia simplex
118139,Anurida maritima
145541,Ascophyllum nodosum
158489,Asterias forbesi
123776,Asterias rubens
160102,Astyris lunata
144423,Bangia atropurpurea
144442,Bonnemaisonia hamifera
140152,Boreochiton ruber
148715,Botrylloides violaceus
103862,Botryllus schlosseri
111158,Bugula neritina
158056,Cancer borealis
158057,Cancer irroratus
107381,Carcinus maenas
153710,Celleporella hyalina
178915,Ceramium virgatum
145625,Chondrus crispus
145722,Chorda filum
144910,Chordaria flagelliformis
145064,Cladophora rupestris
145888,Cladostephus spongiosus
145104,Clathromorphum circumscriptum
145086,Codium fragile
145856,Colpomenia peregrina
160215,Colus stimpsoni
145108,Corallina officinalis
138963,Crepidula fornicata
111696,Crisia eburnea
111343,Cryptosula pallasiana
145615,Cystoclonium purpureum
145770,Devaleraea ramentacea
395099,Diadumene lineata
250126,Didemnum vexillum
145228,Dumontia contorta
117888,Dynamena pumila
144937,Elachista fucicola
111355,Electra pilosa
145490,Erythrotrichia carnea
373772,Euthora cristata
111621,Flustrellidra hispida
145544,Fucus distichus
145547,Fucus spiralis
145548,Fucus vesiculosus
158417,Hemigrapsus sanguineus
123974,Henricia sanguinolenta
140103,Hiatella arctica
145712,Hildenbrandia rubra
145433,Hincksia granulosa
119039,Idotea balthica
140170,Lacuna vincta
494940,Leathesia marina
140262,Littorina littorea
140263,Littorina obtusata
140264,Littorina saxatilis
145650,Mastocarpus stellatus
111411,Membranipora membranacea
100982,Metridium senile
111421,Microporella ciliata
155903,Micrura affinis
140467,Modiolus modiolus
140430,Mya arenaria
140480,Mytilus edulis
145765,Nemalion elmnithoides
140403,Nucella lapillus
140658,Ostrea edulis
158400,Pagurus acadianus
145771,Palmaria palmata
145863,Petalonia fascia
145202,Phymatolithon lenormandii
144603,Plumaria plumosa
145800,Prasiola stipitata
144986,Protectocarpus speciosus
162322,Pterothamnion plumula
144687,Ptilota serrata
157188,Pylaiella littoralis
145076,Rhizoclonium tortuosum
234483,Saccharina latissima
145734,Saccorhiza dermatodea
111538,Schizoporella unicornis
145869,Scytosiphon lomentaria
106210,Semibalanus balanoides
141539,Skeneopsis planorbis
145892,Sphacelaria cirrosa
144413,Spongomorpha aeruginosa
124321,Strongylocentrotus droebachiensis
140276,Testudinalia testudinalis
131543,Thelepus cincinnatus
234471,Ulva intestinalis
145984,Ulva lactuca
475211,Vertebrata lanosa
