year,transect,level,replicate,both_taken
1982,1,5,1,both
1982,1,6,1,both
1982,1,7,1,both
1982,1,8,1,both
1982,1,9,1,both
1982,1,10,1,both
1982,1,11,1,both
1982,1,12,1,both
1982,1,13,1,both
1982,1,14,1,both
1982,1,15,1,both
1982,2,3,1,both
1982,2,4,1,both
1982,2,5,1,both
1982,2,6,1,both
1982,2,7,1,both
1982,2,8,1,both
1982,2,9,1,both
1982,2,10,1,both
1982,2,11,1,both
1982,2,12,1,both
1982,2,13,1,both
1982,2,14,1,both
1982,5,0,1,both
1982,5,1,1,both
1982,5,2,1,both
1982,5,3,1,both
1982,5,4,1,both
1982,5,5,1,both
1982,5,6,1,both
1982,5,7,1,both
1982,5,8,1,both
1982,5,9,1,both
1982,5,10,1,both
1982,5,11,1,both
1982,5,12,1,both
1982,5,13,1,both
1982,5,14,1,both
1982,7,0,1,both
1982,7,3,1,both
1982,7,4,1,both
1982,7,5,1,both
1982,7,6,1,both
1982,7,7,1,both
1982,7,8,1,both
1982,7,9,1,both
1982,7,10,1,both
1982,7,11,1,both
1982,7,12,1,both
1982,7,13,1,both
1982,7,14,1,both
1982,8,4,1,both
1982,8,5,1,both
1982,8,6,1,both
1982,8,7,1,both
1982,8,8,1,both
1982,8,9,1,both
1982,8,10,1,both
1982,8,11,1,both
1982,8,12,1,both
1982,8,13,1,both
1982,10,3,1,both
1982,10,4,1,both
1982,10,5,1,both
1982,10,6,1,both
1982,10,7,1,both
1982,10,8,1,both
1982,10,9,1,both
1982,10,10,1,both
1982,10,11,1,both
1982,10,12,1,both
1982,10,13,1,both
1982,11,5,1,both
1982,11,6,1,both
1982,11,7,1,both
1982,11,8,1,both
1982,11,9,1,both
1982,11,10,1,both
1982,11,11,1,both
1982,11,12,1,both
1982,11,13,1,both
1982,11,14,1,both
1982,11,15,1,both
1982,13,-2,1,both
1982,13,-1,1,both
1982,13,0,1,both
1982,13,1,1,both
1982,13,2,1,both
1982,13,3,1,both
1982,13,4,1,both
1982,13,5,1,both
1982,13,6,1,both
1982,13,7,1,both
1982,13,8,1,both
1982,13,9,1,both
1982,13,10,1,both
1982,13,11,1,both
1982,13,12,1,both
1982,13,13,1,both
1982,15,1,1,both
1982,15,2,1,both
1982,15,3,1,both
1982,15,4,1,both
1982,15,5,1,both
1982,15,6,1,both
1982,15,7,1,both
1982,15,8,1,both
1982,15,9,1,both
1982,15,10,1,both
1982,15,11,1,both
1982,15,12,1,both
1982,15,13,1,both
1982,17,3,1,both
1982,17,4,1,both
1982,17,5,1,both
1982,17,6,1,both
1982,17,7,1,both
1982,17,8,1,both
1982,17,9,1,both
1982,17,10,1,both
1982,17,11,1,both
1982,17,12,1,both
1982,17,13,1,both
1982,18,1,1,both
1982,18,2,1,both
1982,18,3,1,both
1982,18,4,1,both
1982,18,5,1,both
1982,18,6,1,both
1982,18,7,1,both
1982,18,8,1,both
1982,18,9,1,both
1982,18,10,1,both
1982,18,11,1,both
1982,18,12,1,both
1982,18,13,1,both
1982,20,1,1,both
1982,20,3,1,both
1982,20,4,1,both
1982,20,5,1,both
1982,20,6,1,both
1982,20,7,1,both
1982,20,8,1,both
1982,20,9,1,both
1982,20,10,1,both
1982,20,11,1,both
1982,20,12,1,both
1982,20,13,1,both
1982,22,-1,1,both
1982,22,0,1,both
1982,22,1,1,both
1982,22,2,1,both
1982,22,3,1,both
1982,22,4,1,both
1982,22,5,1,both
1982,22,6,1,both
1982,22,7,1,both
1982,22,8,1,both
1982,22,9,1,both
1982,22,10,1,both
1982,22,11,1,both
1982,22,12,1,both
1982,22,13,1,both
1982,22,14,1,both
1982,22,15,1,both
1982,24,0,1,both
1982,24,2,1,both
1982,24,3,1,both
1982,24,4,1,both
1982,24,5,1,both
1982,24,6,1,both
1982,24,7,1,both
1982,24,8,1,both
1982,24,9,1,both
1982,24,10,1,both
1982,24,11,1,both
1982,24,12,1,both
1982,24,13,1,both
1982,24,14,1,both
1982,26,0,1,both
1982,26,3,1,both
1982,26,4,1,both
1982,26,5,1,both
1982,26,6,1,both
1982,26,7,1,both
1982,26,8,1,both
1982,26,9,1,both
1982,26,10,1,both
1982,26,11,1,both
1982,26,12,1,both
1982,26,13,1,both
1982,28,0,1,both
1982,28,2,1,both
1982,28,3,1,both
1982,28,4,1,both
1982,28,5,1,both
1982,28,6,1,both
1982,28,7,1,both
1982,28,8,1,both
1982,28,9,1,both
1982,28,10,1,both
1982,28,11,1,both
1982,28,12,1,both
1982,28,13,1,both
1982,28,14,1,both
1983,1,4,1,both
1983,1,5,1,both
1983,1,6,1,both
1983,1,7,1,both
1983,1,8,1,both
1983,1,10,1,both
1983,1,11,1,both
1983,1,12,1,both
1983,2,3,1,both
1983,2,4,1,both
1983,2,5,1,both
1983,2,6,1,both
1983,2,7,1,both
1983,2,8,1,both
1983,2,9,1,both
1983,2,10,1,both
1983,2,11,1,both
1983,2,12,1,both
1983,2,13,1,both
1983,5,2,1,both
1983,5,3,1,both
1983,5,4,1,both
1983,5,5,1,both
1983,5,6,1,both
1983,5,7,1,both
1983,5,8,1,both
1983,5,9,1,both
1983,5,10,1,both
1983,5,11,1,both
1983,5,12,1,both
1983,7,2,1,both
1983,7,3,1,both
1983,7,4,1,both
1983,7,5,1,both
1983,7,6,1,both
1983,7,7,1,both
1983,7,8,1,both
1983,7,9,1,both
1983,7,10,1,both
1983,7,11,1,both
1983,7,12,1,both
1983,8,4,1,both
1983,8,5,1,both
1983,8,6,1,both
1983,8,7,1,both
1983,8,8,1,both
1983,8,9,1,both
1983,8,10,1,both
1983,8,11,1,both
1983,8,12,1,both
1983,10,2,1,both
1983,10,3,1,both
1983,10,4,1,both
1983,10,5,1,both
1983,10,6,1,both
1983,10,7,1,both
1983,10,8,1,both
1983,10,9,1,both
1983,10,10,1,both
1983,10,11,1,both
1983,10,12,1,both
1983,11,4,1,both
1983,11,5,1,both
1983,11,6,1,both
1983,11,7,1,both
1983,11,8,1,both
1983,11,9,1,both
1983,11,10,1,both
1983,11,11,1,both
1983,11,12,1,both
1983,11,13,1,both
1983,13,1,1,both
1983,13,2,1,both
1983,13,3,1,both
1983,13,4,1,both
1983,13,4,2,both
1983,13,5,1,both
1983,13,6,1,both
1983,13,7,1,both
1983,13,8,1,both
1983,13,9,1,both
1983,13,10,1,both
1983,13,11,1,both
1983,13,12,1,both
1983,13,13,1,both
1983,15,0,1,both
1983,15,1,1,both
1983,15,2,1,both
1983,15,3,1,both
1983,15,4,1,both
1983,15,5,1,both
1983,15,6,1,both
1983,15,7,1,both
1983,15,8,1,both
1983,15,9,1,both
1983,15,10,1,both
1983,15,11,1,both
1983,15,12,1,both
1983,17,4,1,both
1983,17,8,1,both
1983,17,9,1,both
1983,17,10,1,both
1983,17,11,1,both
