organism,perc_monthly_min_0,perc_monthly_min_05,median_monthly_min,mean_monthly_min,perc_monthly_min_95,perc_monthly_mean_05,median_monthly_mean,mean_monthly_mean,perc_monthly_mean_95,perc_monthly_max_05,median_monthly_max,mean_monthly_max,perc_monthly_max_95,perc_monthly_max_100,n_records,spp_rank
Devaleraea ramentacea,-0.8294677734375,-0.8294677734375,-0.8294677734375,-0.2512894553123134,1.4430068731307983,2.7730343639850616,6.7799668644244475,6.520928560408822,7.934500152866046,5.132294654846191,17.59441375732422,16.206149290103724,18.28559112548828,18.28559112548828,101,1
Saccorhiza dermatodea,-1.7999999523162842,-0.8294677734375,-0.28173828125,-0.3761655980348587,0.20598727464675903,5.429324058194955,6.7799668644244475,6.576806686267568,7.268294761578242,14.60407829284668,16.920955657958984,16.531044104099273,17.59441375732422,17.59441375732422,200,2
Cancer irroratus,-1.7999999523162842,-1.095703125,-0.2615966796875,0.21163071528689503,3.3727829456329346,6.318994884689649,7.241558459897836,7.634816409721416,10.409992198149363,16.02865219116211,17.661230087280273,17.900367115931108,20.12611961364746,29.60346031188965,1387,3
Pylaiella littoralis,-1.7999999523162842,-1.7999999523162842,1.685302734375,2.2364793959255933,8.27979907989502,6.87897860010465,8.609131654103598,8.829692583867478,11.632758299509684,14.724743843078613,18.227828979492188,17.911890238309244,19.84360122680664,24.612638473510742,5147,4
Strongylocentrotus droebachiensis,-1.7999999523162842,-0.8294677734375,3.5579047203063965,3.720264992253347,8.145047187805176,6.02124550032119,9.83454974492391,9.002350323521709,11.397385358810425,13.314255332946779,16.02865219116211,15.983600182966752,19.848583221435547,20.680572509765625,693,5
Fucus distichus,-1.7999999523162842,-1.5573669075965881,8.017619609832764,5.427035933635274,8.37899398803711,0.09251729647318518,10.65491271018982,9.021029520968149,11.49351167678833,2.629550814628601,15.014771461486816,13.905587271914456,18.28559112548828,20.486087799072266,366,6
Anomia simplex,0.621585488319397,0.621585488319397,0.937036395072937,2.0737577788183623,2.2826476097106934,7.927187701066335,7.934500152866046,9.033815957257682,9.056326647599539,18.11878776550293,18.28559112548828,18.844412117360907,18.701679229736328,30.24280548095703,107,7
Idotea balthica,-1.7999999523162842,-0.6196166992187454,2.06012225151062,2.4936706627012106,7.621861791610714,7.501689513524373,9.094170043865839,9.389638800250815,12.006360133488974,16.039892196655273,18.40941047668457,18.62140754982325,20.420188903808594,28.485532760620117,5912,8
Colus stimpsoni,-0.851318359375,-0.3827877238392829,1.8853521645069122,2.1149030067026615,4.802162837982178,6.08412718884647,8.566490270197392,9.621071137177447,13.098195749521256,13.649200868606567,18.47426128387451,18.83146870136261,22.81979446411133,23.053028106689453,8,9
Elachista fucicola,-1.7999999523162842,0.42502444982528687,2.833578586578369,3.798878420492378,8.765438079833984,7.209165453910828,9.722451488176981,9.738745426348045,12.286962270736694,13.752059936523438,18.038101196289062,17.483238948505296,19.78622817993164,24.612638473510742,4902,10
Fucus vesiculosus,-1.7999999523162842,0.73046875,2.8838772773742676,4.405087777622057,9.676898956298828,7.422587851683299,9.639871001243591,9.979259184193733,13.112672328948975,13.938882827758789,17.91280746459961,17.48645829264267,20.050323486328125,24.612638473510742,29516,11
Pagurus acadianus,-0.0327819362282753,0.11217300668358805,0.6023559868335724,2.702521105669439,7.490268850326537,7.587193364898364,8.019350272913774,9.993021636502817,14.234259009361267,17.587883615493777,18.323962211608887,19.45101969242096,24.337393283843994,24.348020553588867,40,12
Testudinalia testudinalis,-1.7999999523162842,0.16422221064567566,7.366049766540527,5.575090263042841,9.142229080200195,6.7475477283199625,10.54233225186666,10.011441676037068,12.698356628417969,13.018393707275392,15.183330535888672,15.653685443825362,18.701679229736328,28.199100494384766,1878,13
Euthora cristata,4.696569442749023,6.260223817825318,7.147653579711914,7.3863324752220745,8.9659576416015625,9.276803851127625,10.093881408373514,10.110257170903377,11.20779354572296,12.136456489562988,14.103497982025146,13.648705904300396,15.96562919616699,16.957002639770508,52,14
